sire,cs.2015,cs.2016,cs.2017
modmat.siredam2015fit:paternalID1,2.047081381,3.477113526,2.187594551
modmat.siredam2015fit:paternalID8,1.70100153,2.498796074,2.163979267
modmat.siredam2015fit:paternalID15,1.161854509,4.010120106,1.578205423
modmat.siredam2015fit:paternalID21,1.618361636,2.284924218,1.271146071
modmat.siredam2015fit:paternalID24,1.204598844,3.103829505,1.698725951
modmat.siredam2015fit:paternalID25,1.471568282,2.542029297,1.586219252
modmat.siredam2015fit:paternalID27,1.287067664,4.197071572,3.77895724
modmat.siredam2015fit:paternalID31,0.819933851,2.698964368,2.511159014
modmat.siredam2015fit:paternalID35,0.413590783,1.850958402,1.755679238
modmat.siredam2015fit:paternalID42,1.049462336,3.34886139,1.873289492
modmat.siredam2015fit:paternalID43,0.613170503,1.613617347,0.984220522
modmat.siredam2015fit:paternalID52,2.382557963,2.345089577,1.901655367
modmat.siredam2015fit:paternalID55,0.918284095,2.670411868,1.588998425
modmat.siredam2015fit:paternalID61,2.530114336,3.055016714,3.515327772
modmat.siredam2015fit:paternalID67,1.651794395,3.319895302,1.814166784
modmat.siredam2015fit:paternalID69,0.439354417,1.990402873,1.249353762
modmat.siredam2015fit:paternalID75,1.608355507,1.955695362,1.531741702
modmat.siredam2015fit:paternalID89,0.416514095,1.629453484,3.015213057
modmat.siredam2015fit:paternalID96,1.075909938,1.72514689,1.031178922
modmat.siredam2015fit:paternalID98,0.8468603,2.247047227,1.076333331
