Sire,KWb2015,KWb2016,KWb2017
modmat.siredam2015fit:paternalID1,1.530303157,0.584667932,0.322845091
modmat.siredam2015fit:paternalID5,1.747249881,1.027352239,0.478326321
modmat.siredam2015fit:paternalID9,1.927503244,0.688395009,1.172117234
modmat.siredam2015fit:paternalID12,2.022292657,0.694460425,0.747313998
modmat.siredam2015fit:paternalID16,1.877279885,0.390019278,0.493946555
modmat.siredam2015fit:paternalID20,1.395340259,0.408965988,0.291701833
modmat.siredam2015fit:paternalID23,3.398192941,0.734430889,0.870264242
modmat.siredam2015fit:paternalID26,1.644402107,1.286935845,0.521220749
modmat.siredam2015fit:paternalID30,2.903136521,1.209090551,1.997484782
modmat.siredam2015fit:paternalID39,3.191502513,0.668820332,0.795776711
modmat.siredam2015fit:paternalID40,3.205248271,1.137914332,0.950034424
modmat.siredam2015fit:paternalID41,2.890403691,1.926990966,1.319623233
modmat.siredam2015fit:paternalID49,1.642180974,0.530741127,0.461622742
modmat.siredam2015fit:paternalID53,2.926941667,1.07481424,0.304468884
modmat.siredam2015fit:paternalID56,1.388682659,0.621516535,0.884566525
modmat.siredam2015fit:paternalID59,1.773796388,0.550022793,0.839612632
modmat.siredam2015fit:paternalID60,1.550146441,1.02587338,0.731780993
modmat.siredam2015fit:paternalID68,3.120467145,1.260566035,0.754518484
modmat.siredam2015fit:paternalID71,1.759602791,0.542063888,0.423134115
modmat.siredam2015fit:paternalID75,2.481795228,1.374480521,0.379182785
modmat.siredam2015fit:paternalID76,2.190666785,1.704173017,0.983463296
modmat.siredam2015fit:paternalID81,2.668749875,0.685349167,0.816396396
modmat.siredam2015fit:paternalID87,1.867460804,0.70203492,0.460873297
modmat.siredam2015fit:paternalID91,6.295096865,1.919884533,1.786284238
modmat.siredam2015fit:paternalID98,1.804941549,0.668413347,0.827751286
modmat.siredam2015fit:paternalID101,1.464595859,0.456861477,0.304482533
modmat.siredam2015fit:paternalID104,2.254835326,1.022080512,0.915364243
modmat.siredam2015fit:paternalID105,1.563428729,0.878760045,0.478995442
modmat.siredam2015fit:paternalID110,3.874198759,0.675223127,0.369678668
modmat.siredam2015fit:paternalID111,2.156083135,1.17783033,0.981519732
modmat.siredam2015fit:paternalID114,1.747771838,0.601328801,0.658352031
modmat.siredam2015fit:paternalID117,3.435147991,2.003661705,1.519375378
modmat.siredam2015fit:paternalID123,1.580575965,0.60072844,0.554341659
modmat.siredam2015fit:paternalID130,3.413688049,0.894070021,0.469810025
modmat.siredam2015fit:paternalID131,1.760237168,1.781458319,0.923563149
modmat.siredam2015fit:paternalID136,2.455760471,1.65782575,1.473480537
modmat.siredam2015fit:paternalID137,2.553827108,0.526904412,0.467311494
modmat.siredam2015fit:paternalID142,1.80518888,0.419519385,0.719738
modmat.siredam2015fit:paternalID146,4.437821662,0.857303889,0.595710699
modmat.siredam2015fit:paternalID154,2.685473339,0.777318444,0.631313913
modmat.siredam2015fit:paternalID159,1.731922971,0.757864176,0.554268124
modmat.siredam2015fit:paternalID164,3.709118996,0.869723544,1.519618536
modmat.siredam2015fit:paternalID177,1.988286027,1.343908518,1.014098003
modmat.siredam2015fit:paternalID180,1.747801166,0.539762428,0.664603329
modmat.siredam2015fit:paternalID181,2.129376115,0.544942412,0.429231989
modmat.siredam2015fit:paternalID183,2.986123235,0.650706068,0.436397528
modmat.siredam2015fit:paternalID184,2.98325667,0.987870118,1.275741225
modmat.siredam2015fit:paternalID198,1.749047442,1.126065491,1.035649145
