KW_Va.star,se.KW_Va.star,se.KW_Va.star_sd
1.549121481,0.917518341,0.747959767
1.745254861,1.206327014,0.855279786
0.621583888,0.526423637,0.443387106
2.070767389,1.050555486,1.012162308
1.789691754,1.21305356,0.798354002
2.111978274,1.133017584,0.896501984
2.015954932,1.393617581,0.821492564
1.385784077,0.772179782,0.679449029
1.376676638,0.936767341,0.992499966
1.276855097,1.190841957,0.838055313
0.646404498,0.590883112,0.409879529
1.549168996,0.966504331,0.651429197
0.411985685,0.398574244,0.246272245
1.087120912,1.040858932,0.627855838
1.09441349,0.836108537,0.62634027
2.076255612,1.904236323,1.514766541
2.74849461,1.902374224,1.281552209
1.564342689,0.894282719,0.646494729
1.062412271,0.746165126,0.672282999
1.404507466,1.153032659,0.920838792
2.828909862,2.345849951,1.449526201
1.165558536,1.024279915,0.758708601
1.190655911,0.738744215,0.600748571
2.086484217,1.169391112,0.691125346
1.869610542,2.344671142,1.357449765
2.685164794,1.662240549,1.061097214
0.715937699,0.787344249,0.458586727
1.288421288,0.768149303,0.470030873
1.208762848,1.175508005,0.652293321
0.145718702,0.259893678,0.127848235
2.987845024,1.631818739,1.024366343
0.364723298,0.34314031,0.241264421
1.296703412,0.864165158,0.556639444
2.17521601,1.703395421,0.914255262
1.612283283,1.372381378,0.8465362
1.778521449,1.170182026,0.61643706
0.381423174,0.47419267,0.36292883
1.257767056,1.17977346,0.779676387
3.322015126,1.852074309,1.697093731
2.192135212,2.596074849,1.599618058
2.359131417,2.074678002,1.139649553
1.416945806,0.999249589,0.539434555
1.780362684,1.481626131,0.992746439
0.964082808,0.803037775,0.521853028
3.282921135,2.52033495,1.835603702
1.247420079,0.542215416,0.541616364
2.01938413,1.662939909,1.062124783
0.981412989,0.868246418,0.634310022
1.004743764,1.220940477,0.670955698
0.485667024,0.413887747,0.244220122
2.529004339,1.440486495,0.900408979
0.767812463,0.937208517,0.495612527
1.866185805,1.387447812,0.889240681
0.859720291,0.845244986,0.599534299
1.236032094,0.851160678,0.613169842
2.951294899,1.331065791,1.223088672
0.854635085,0.591757695,0.383223955
0.845275199,0.521598261,0.450858308
0.713671103,0.485262189,0.5967097
0.523099524,0.512399404,0.283760807
1.719029325,1.690018329,0.960187934
0.976096836,0.605582686,0.501078846
1.321961146,1.027862799,0.659018182
2.690058561,2.155740127,1.757827028
1.266486901,1.28923315,0.819896242
1.313774278,0.78866573,0.488745127
1.149426773,0.885815878,0.653533969
2.041157881,2.085614689,1.337861158
1.343918367,1.025474463,0.684990748
1.639551106,1.112223326,0.755730962
1.676564403,1.607575226,1.017469622
1.491091721,1.487822716,0.948392488
1.333419591,0.847168505,0.716040965
1.542542967,1.276308707,1.060554905
3.666008293,2.152500794,1.896612142
1.196003729,1.097153552,0.743223956
2.422402286,1.129006619,0.907541008
1.750879511,1.430156167,0.811317164
1.696440549,1.260455509,0.807940361
2.111481709,1.137166324,0.719617315
1.731851107,1.192855154,0.821216361
0.873672724,0.835889059,0.528044524
1.391615565,0.905600989,0.757976374
1.452085637,1.021686499,0.671775536
1.195557091,1.230831735,0.761759598
1.242254192,1.232967895,0.665472674
1.805715336,1.216301935,0.835716347
1.537256048,1.474880127,0.858640344
2.781180597,1.712669769,1.123445743
1.119914465,0.802019324,0.623977442
1.257712458,0.83331662,0.685231155
1.353661999,0.678797529,0.613264493
5.001953456,2.662482097,1.657003109
2.402815831,2.162752112,1.295762339
1.813130075,1.200002,0.832355562
2.69071406,1.704303399,1.447508918
1.070182214,0.643967612,0.607208348
1.172488043,0.734962398,0.491456006
1.675017708,1.312910947,0.762554401
1.159658106,0.831480428,0.635466266
