positionID,maternalID,paternalID,position,row,block,Germ,flw,total.pods,total.pods.collected,totalseeds,cohort,year,seedpool
1,148,204,0.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
2,148,204,0.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
3,148,204,1,100,1A,1,1,2,2,1,greenhouse,2015,NA
4,148,204,1.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
5,148,204,1.2,100,1A,1,0,0,0,0,greenhouse,2015,NA
6,83,204,2.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
7,83,204,2.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
8,83,204,3,100,1A,0,0,0,0,0,greenhouse,2015,NA
9,83,204,3.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
10,83,204,3.2,100,1A,1,0,0,0,0,greenhouse,2015,NA
11,83,204,4.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
12,83,204,4.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
13,83,204,5,100,1A,0,0,0,0,0,greenhouse,2015,NA
14,83,204,5.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
15,83,204,5.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
16,40,127,6.8,100,1A,1,1,4,2,12,greenhouse,2015,NA
17,40,127,6.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
18,40,127,7,100,1A,1,1,0,0,0,greenhouse,2015,NA
19,40,127,7.1,100,1A,1,1,0,0,0,greenhouse,2015,NA
20,40,127,7.2,100,1A,1,1,0,0,0,greenhouse,2015,NA
21,147,163,8.8,100,1A,0,0,0,0,0,greenhouse,2015,NA
22,147,163,8.9,100,1A,0,0,0,0,0,greenhouse,2015,NA
23,147,163,9,100,1A,0,0,0,0,0,greenhouse,2015,NA
24,147,163,9.1,100,1A,0,0,0,0,0,greenhouse,2015,NA
25,147,163,9.2,100,1A,0,0,0,0,0,greenhouse,2015,NA
