maternalID,paternalID,position,block,row,Germ,flw,total.pods,total.pods.collected,totalseeds,year,cohort
88,130,6.8,1A,102,0,0,0,0,0,2015,greenhouse
88,130,6.9,1A,102,0,0,0,0,0,2015,greenhouse
88,130,7,1A,102,0,0,0,0,0,2015,greenhouse
88,130,7.1,1A,102,0,0,0,0,0,2015,greenhouse
88,130,7.2,1A,102,0,0,0,0,0,2015,greenhouse
166,98,8.8,1A,102,0,0,0,0,0,2015,greenhouse
166,98,8.9,1A,102,0,0,0,0,0,2015,greenhouse
166,98,9,1A,102,0,0,0,0,0,2015,greenhouse
166,98,9.1,1A,102,0,0,0,0,0,2015,greenhouse
166,98,9.2,1A,102,0,0,0,0,0,2015,greenhouse
34,20,10.8,1A,102,0,0,0,0,0,2015,greenhouse
34,20,10.9,1A,102,0,0,0,0,0,2015,greenhouse
34,20,11,1A,102,0,0,0,0,0,2015,greenhouse
34,20,11.1,1A,102,0,0,0,0,0,2015,greenhouse
34,20,11.2,1A,102,0,0,0,0,0,2015,greenhouse
47,164,12.8,1A,102,0,0,0,0,0,2015,greenhouse
47,164,12.9,1A,102,1,1,0,0,0,2015,greenhouse
47,164,13,1A,102,1,1,12,12,89,2015,greenhouse
47,164,13.1,1A,102,0,0,0,0,0,2015,greenhouse
47,164,13.2,1A,102,0,0,0,0,0,2015,greenhouse
77,184,14.8,1A,102,0,0,0,0,0,2015,greenhouse
77,184,14.9,1A,102,0,0,0,0,0,2015,greenhouse
77,184,15,1A,102,0,0,0,0,0,2015,greenhouse
77,184,15.1,1A,102,0,0,0,0,0,2015,greenhouse
77,184,15.2,1A,102,0,0,0,0,0,2015,greenhouse
103,40,20.8,1A,102,0,0,0,0,0,2015,greenhouse
103,40,20.9,1A,102,0,0,0,0,0,2015,greenhouse
103,40,21,1A,102,0,0,0,0,0,2015,greenhouse
103,40,21.1,1A,102,0,0,0,0,0,2015,greenhouse
103,40,21.2,1A,102,0,0,0,0,0,2015,greenhouse
148,75,22.8,1A,102,0,0,0,0,0,2015,greenhouse
148,75,22.9,1A,102,0,0,0,0,0,2015,greenhouse
148,75,23,1A,102,0,0,0,0,0,2015,greenhouse
148,75,23.1,1A,102,0,0,0,0,0,2015,greenhouse
148,75,23.2,1A,102,0,0,0,0,0,2015,greenhouse
62,104,24.8,1A,102,0,0,0,0,0,2015,greenhouse
62,104,24.9,1A,102,0,0,0,0,0,2015,greenhouse
62,104,25,1A,102,1,1,12,12,114,2015,greenhouse
62,104,25.1,1A,102,0,0,0,0,0,2015,greenhouse
62,104,25.2,1A,102,0,0,0,0,0,2015,greenhouse
113,114,26.8,1A,102,0,0,0,0,0,2015,greenhouse
113,114,26.9,1A,102,0,0,0,0,0,2015,greenhouse
113,114,27,1A,102,0,0,0,0,0,2015,greenhouse
113,114,27.1,1A,102,0,0,0,0,0,2015,greenhouse
113,114,27.2,1A,102,0,0,0,0,0,2015,greenhouse
2,9,28.8,1A,102,0,0,0,0,0,2015,greenhouse
2,9,28.9,1A,102,0,0,0,0,0,2015,greenhouse
2,9,29,1A,102,1,1,11,11,150,2015,greenhouse
2,9,29.1,1A,102,0,0,0,0,0,2015,greenhouse
2,9,29.2,1A,102,0,0,0,0,0,2015,greenhouse
2,9,30.8,1A,102,0,0,0,0,0,2015,greenhouse
2,9,30.9,1A,102,0,0,0,0,0,2015,greenhouse
2,9,31,1A,102,0,0,0,0,0,2015,greenhouse
2,9,31.1,1A,102,0,0,0,0,0,2015,greenhouse
2,9,31.2,1A,102,0,0,0,0,0,2015,greenhouse
158,68,32.8,1A,102,0,0,0,0,0,2015,greenhouse
158,68,32.9,1A,102,0,0,0,0,0,2015,greenhouse
158,68,33,1A,102,1,1,6,6,49,2015,greenhouse
158,68,33.1,1A,102,0,0,0,0,0,2015,greenhouse
158,68,33.2,1A,102,0,0,0,0,0,2015,greenhouse
107,111,34.8,1A,102,0,0,0,0,0,2015,greenhouse
107,111,34.9,1A,102,0,0,0,0,0,2015,greenhouse
107,111,35,1A,102,0,0,0,0,0,2015,greenhouse
107,111,35.1,1A,102,0,0,0,0,0,2015,greenhouse
107,111,35.2,1A,102,0,0,0,0,0,2015,greenhouse
88,130,36.8,1A,102,1,1,12,12,192,2015,greenhouse
88,130,36.9,1A,102,0,0,0,0,0,2015,greenhouse
88,130,37,1A,102,0,0,0,0,0,2015,greenhouse
88,130,37.1,1A,102,0,0,0,0,0,2015,greenhouse
88,130,37.2,1A,102,0,0,0,0,0,2015,greenhouse
84,117,38.8,1A,102,0,0,0,0,0,2015,greenhouse
84,117,38.9,1A,102,0,0,0,0,0,2015,greenhouse
84,117,39,1A,102,0,0,0,0,0,2015,greenhouse
84,117,39.1,1A,102,0,0,0,0,0,2015,greenhouse
84,117,39.2,1A,102,0,0,0,0,0,2015,greenhouse
113,114,40.8,1A,102,0,0,0,0,0,2015,greenhouse
113,114,40.9,1A,102,0,0,0,0,0,2015,greenhouse
113,114,41,1A,102,0,0,0,0,0,2015,greenhouse
113,114,41.1,1A,102,0,0,0,0,0,2015,greenhouse
113,114,41.2,1A,102,0,0,0,0,0,2015,greenhouse
152,183,42.8,1A,102,0,0,0,0,0,2015,greenhouse
152,183,42.9,1A,102,0,0,0,0,0,2015,greenhouse
152,183,43,1A,102,0,0,0,0,0,2015,greenhouse
152,183,43.1,1A,102,0,0,0,0,0,2015,greenhouse
152,183,43.2,1A,102,0,0,0,0,0,2015,greenhouse
139,1,44.8,1A,102,0,0,0,0,0,2015,greenhouse
139,1,44.9,1A,102,0,0,0,0,0,2015,greenhouse
139,1,45,1A,102,0,0,0,0,0,2015,greenhouse
139,1,45.1,1A,102,0,0,0,0,0,2015,greenhouse
139,1,45.2,1A,102,0,0,0,0,0,2015,greenhouse
45,154,46.8,1A,102,0,0,0,0,0,2015,greenhouse
45,154,46.9,1A,102,0,0,0,0,0,2015,greenhouse
45,154,47,1A,102,0,0,0,0,0,2015,greenhouse
45,154,47.1,1A,102,0,0,0,0,0,2015,greenhouse
45,154,47.2,1A,102,0,0,0,0,0,2015,greenhouse
